Order/PO Number,External ID,Model number,ASIN,Merchant SKU,Title,List price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Hand Off Start,Hand Off End,Hand Off Type,Expected Hand Off Date,Availability Status,Error From Previous Upload Attempt,Vendor code,Fulfillment Center,Consolidation ID,Condition,Order date,Is Back Order,Freight terms,Payment Method,Special Instructions,Comments,Legal Entity Id,Currency code,External ID type,Item Package Quantity,Aggregate Quantity,Merchant Customer ID,Merchant Sku ratio,Priority
69VED3RS,6222040339917,5211603506,B09RJ98MC1,,"Junior KIDS SOCKS INVISIBLE BIRDS P/2 , Multicolor 6 Years",EGP 65.79,35%,42.76,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040338347,5211504508,B09RJBXM29,,"Junior KIDS SOCKS INVISIBLE SNOOPY P/2 , Multicolor 8 Years",EGP 65.79,35%,42.76,6,,6,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040393322,1100720018,B09X5RVNGC,,"Junior Baby unisex Sleeveless Body Baby and Toddler Underwear Set, White, 18 Months",EGP 65.79,35%,42.76,9,,9,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040389868,1100530112,B09X5SF92J,,"Junior Printed Short sleeve Kimono, White, 12 Months",EGP 78.95,35%,51.32,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040347202,322110443118,B09YCXYBJB,,"Junior Sweat Short, White, 18 Months, baby-girls",EGP 165.79,35%,107.76,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040384283,1200344012,B0B5515XX8,,"Junior Long sleeve Flannel, White, 12 Years",EGP 336.85,35%,218.95,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040381343,1300147010,B0B5519V2X,,"Junior Sleeveless Flannel, White, 10 Years",EGP 61.41,35%,39.91,6,,6,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040384405,1300347104,B0B553V4HF,,"Junior Long sleeve Flannel, Multicolors, 4 Years",EGP 61.40,35%,39.91,20,,20,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319133454,2123123012,B0BZDJTCRR,,,EGP 189.00,35%,122.59,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319132129,2123181818,B0BZDK8FGC,,,EGP 246.00,35%,159.65,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319127880,2123341603,B0BZDM4WQ3,,,EGP 280.70,35%,182.46,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319133775,2123123206,B0BZDMHWKC,,,EGP 228.07,35%,148.25,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319176369,2223174512,B0CK78DNTX,,"Junior Baby Girls High Quality Cotton and comfy Booties BODY ROSE 12, 3 Months",EGP 144.74,35%,94.08,7,,7,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319191126,2223180409,B0CK7B83YJ,,"Junior Baby Girls High Quality Cotton and comfy Printed Bodysuit & Zip up Hoodie with Printed Pants, PINK/OFF WHITE, 9 Months",EGP 526.32,35%,342.11,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319205762,323210530524,B0CN5LCSF9,,"Junior Baby Girl Sweat Shirt, Yellow, 24 Months",EGP 245.61,35%,159.65,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319169439,323210343209,B0CN5M2C9C,,"Junior Baby Girl Sweat Pant, Multicolore, 9 Months",EGP 285.09,35%,185.31,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319169590,323210521236,B0CN5MRBPD,,"Junior Baby Girl Full Zipper Hoodies, Multicolore, 36 Months",EGP 346.49,35%,225.22,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319204161,323211630206,B0CQK8XP61,,"Junior Baby Boys Round Sweatshirt, Blue, 6 Months",EGP 302.63,35%,196.71,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319201979,323229921204,B0CQK9Z2SX,,"Junior Boys Denim Jacket, Multicolor, 4 Years",EGP 745.61,35%,484.65,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319196916,323219943212,B0CQKB9185,,"Junior Baby Boys Sweat Pant, Red, 12 Months",EGP 285.09,35%,185.31,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319202785,323219921318,B0CQKBBL92,,"Junior Baby Boys Denim Jacket, Multicolor, 18 Months",EGP 657.89,35%,427.63,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319204826,323229920704,B0CQKBJK7N,,"Junior Boys Padded Jacket, Multicolor, 4 Years",EGP 763.16,35%,496.05,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319208800,323221231104,B0CQKBJP5J,,"Junior Boys Sweatshirt Hoodie, Yellow, 4 Years",EGP 482.46,35%,313.6,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319204147,323211631124,B0CQKBMX15,,"Junior Baby Boys Hoodie, Blue, 24 Months",EGP 372.81,35%,242.32,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319202945,323211131109,B0CQKBPXNK,,"Junior Baby Boys Hoodie, Multicolor, 9 Months",EGP 346.49,35%,225.22,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319197487,323221431414,B0CQKBTFBQ,,"Junior Boys Hoodie, Dark Grey, 14 Years",EGP 460.53,35%,299.34,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319196749,323211521118,B0CQKC3HBG,,"Junior Baby Boys Full Zipper Hoodie, Blue, 18 Months",EGP 346.49,35%,225.22,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319208350,323221131112,B0CQKC3P69,,"Junior Boys Round Sweatshirt, Multicolor, 12 Years",EGP 548.25,35%,356.36,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319208275,323221131104,B0CQKCCKHR,,"Junior Boys Round Sweatshirt, Multicolor, 4 Years",EGP 548.25,35%,356.36,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319210681,323211578109,B0CQKCM55X,,"Junior Baby Boys Puffer Romber, Grey, 9 Months",EGP 850.00,40%,507.46,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319197739,323211531106,B0CQKCSDLJ,,"Junior Baby Boys Hoodie, Multicolor, 6 Months",EGP 328.95,35%,213.82,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319205083,323220860208,B0CQKD12LW,,"Junior Girls Dress, Multicolor, 8 Years",EGP 697.37,35%,453.29,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319201580,323229920110,B0CQKDPKFJ,,"Junior Boys Denim Jacket, Multicolor, 10 Years",EGP 745.61,35%,484.65,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319204581,323211630106,B0CQKDXYZB,,"Junior Baby Boys Round Sweatshirt, Off White, 6 Months",EGP 258.77,35%,168.2,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319059754,1103140236,B0CRPPNBG8,,"Junior Baby Flannel, Rose, 36 Months",EGP 61.41,35%,39.91,4,,4,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319105659,1303247112,B0CRPPSQX7,,"Junior Kids Flannel, Rose, 12 Years",EGP 86.85,44%,48.46,4,,4,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319075877,1202171208,B0CRPPZ8Q9,,"Junior Kids Underwear Set, L.Blue, 8 Years",EGP 140.36,35%,91.23,7,,7,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319120904,1158721309,B0CRPQ2YZ1,,"Junior Baby Bodysuit, Multicolor, 9 Months",EGP 262.29,42%,151.1,30,,30,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040388564,1302477016,B0CRPQ6K49,,"Junior Girls Thermal set, Yellow, 16 Years",EGP 298.25,35%,193.86,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319067674,1321055906,B0CRPQDCGJ,,"Junior Kids Lycra Short, Grey, 6 Years",EGP 70.18,35%,45.61,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319069920,1149621306,B0CRPQFZMK,,"Junior Baby Bodysuit, Multicolor, 6 Months",EGP 250.00,35%,162.5,12,,12,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319074511,1305174406,B0CRPQHHGY,,"Junior Girls Underwear Set, Yellow, 6 Years",EGP 100.88,35%,65.57,6,,6,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040384382,1300347016,B0CRPQHQ9D,,"Junior Kids Flannel, White, 16 Years",EGP 165.79,37%,104.91,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040385587,4219010412,B0CRPQJRV5,,"Junior Girls Half Coal, Body Rose, 12 Years",EGP 131.58,35%,85.53,6,,6,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319077024,1105050412,B0CRPQKF9G,,"Junior Baby Girl Panty, Yellow, 12 Months",EGP 48.25,35%,31.36,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319077086,1113050412,B0CRPQKH4R,,"Junior Baby Girl Panty, Body Rose, 12 Months",EGP 48.25,35%,31.36,11,,11,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040385242,4208010408,B0CRPQN41C,,"Junior Kids Half Coal, L.Blue, 8 Years",EGP 130.71,43%,74.12,6,,6,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319067452,1307055904,B0CRPQS4TX,,"Junior Kids Lycra Short, Pistage, 4 Years",EGP 69.30,47%,37.06,6,,6,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040390888,1200060008,B0CRPQTHCZ,,"Junior Boys Slip, White, 8 Years",EGP 109.65,35%,71.27,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319149356,1160721306,B0CRPQTMR3,,"Junior Baby Bodysuit, Multicolor, 6 Months",EGP 232.46,35%,151.1,54,,54,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319073491,1224271812,B0CRPQX9JC,,"Junior Boys Underwear Set, Olive, 12 Years",EGP 148.25,38%,91.23,6,,6,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319076119,1228171208,B0CRPQXP6R,,"Junior Kids Underwear Set, Navy Red, 8 Years",EGP 139.48,35%,91.23,7,,7,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319105932,1313247104,B0CRPQYSR1,,"Junior Kids Flannel, Body Rose, 4 Years",EGP 78.08,38%,48.46,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319076096,1228171204,B0CRPRBWMT,,"Junior Kids Underwear Set, Navy Red, 4 Years",EGP 140.36,35%,91.23,2,,2,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319108735,1153721306,B0CRPRC2F2,,"Junior Baby Bodysuit, Multicolor, 6 Months",EGP 232.46,35%,151.1,29,,29,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319076126,1228171210,B0CRPRC2FD,,"Junior Kids Underwear Set, Navy Red, 10 Years",EGP 139.48,35%,91.23,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040393643,1101740403,B0CRPRCMB2,,"Junior Baby Boy Flannel Set, Multicolor, 3 Months",EGP 175.44,35%,114.04,12,,12,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319105741,1305247114,B0CRPRFM34,,"Junior Kids Flannel, Yellow, 14 Years",EGP 78.08,38%,48.46,4,,4,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319059631,1102140206,B0CRPRH2NW,,"Junior Baby Flannel, L.Blue, 6 Months",EGP 60.53,34%,39.91,4,,4,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319067551,1319055910,B0CRPRH3FC,,"Junior Kids Lycra Short, Aqua, 10 Years",EGP 69.30,38%,42.76,16,,16,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319059662,1102140218,B0CRPRHM8T,,"Junior Baby Flannel, L.Blue, 18 Months",EGP 61.41,35%,39.91,14,,14,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319076966,1103050412,B0CRPRHMPF,,"Junior Baby Girl Panty, Rose, 12 Months",EGP 48.25,35%,31.36,10,,10,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319076874,1102050403,B0CRPRHVFD,,"Junior Baby Girl Panty, L.Blue, 3 Months",EGP 51.76,39%,31.36,1,,1,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319077109,1113050424,B0CRPRJKSM,,"Junior Baby Girl Panty, Body Rose, 24 Months",EGP 48.25,35%,31.36,24,,24,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6222040381015,1200144006,B0CRPRMT86,,"Junior Kids Flannel, White, 6 Years",EGP 61.41,35%,39.91,3,,3,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
69VED3RS,6221319059686,1102140236,B0CRPRNQXK,,"Junior Baby Flannel, L.Blue, 36 Months",EGP 61.41,35%,39.91,7,,7,0,0,03-ГЫУШУ-2025,14-ГЫУШУ-2025,Delivery,03-ГЫУШУ-2025,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,02-ГЫУШУ-2025,NO,Prepaid,Invoice,,,142,EGP,7,1,1,,0.00,No
